,YEAR,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,rev_clusters
132,2005,23026334.0,937945.0,9340953.0,12747436.0,23023365.0,11575456.0,7408034.0,817943.0,2179605.0,2
133,2005,2982991.0,480888.0,2102670.0,399433.0,3011696.0,1395996.0,955266.0,149000.0,466166.0,1
134,2005,43936450.0,3156023.0,19202847.0,21577580.0,45086872.0,27866708.0,11303872.0,1182179.0,3342778.0,0
135,2005,11098165.0,1116670.0,6440768.0,3540727.0,10917913.0,6160224.0,3039968.0,580213.0,791873.0,1
136,2005,969520.0,148482.0,341066.0,479972.0,985502.0,501563.0,258404.0,64839.0,88341.0,1
137,2005,19746239.0,1413888.0,8313858.0,10018493.0,19785561.0,9700668.0,6526386.0,830761.0,2046199.0,2
138,2005,4892548.0,678448.0,2440741.0,1773359.0,4785987.0,2303527.0,1569038.0,467321.0,397131.0,1
139,2005,5022050.0,498217.0,2440758.0,2083075.0,5597579.0,2671228.0,1680005.0,181133.0,364717.0,1
140,2005,22657782.0,1750988.0,7667114.0,13239680.0,23183924.0,11284717.0,6638401.0,920319.0,1914407.0,2
141,2005,1903472.0,145957.0,747359.0,1010156.0,1790591.0,1023496.0,616544.0,74850.0,20070.0,1
142,2005,6337711.0,639308.0,2832245.0,2866158.0,6572191.0,3134658.0,1903030.0,342107.0,938347.0,1
143,2005,1053504.0,176738.0,350316.0,526450.0,1059303.0,539413.0,316892.0,46872.0,124727.0,1
144,2005,6806262.0,787269.0,2962151.0,3056842.0,7067521.0,4120045.0,1907907.0,378064.0,483208.0,1
145,2005,37783715.0,4095588.0,13017433.0,20670694.0,40302144.0,18950703.0,10963041.0,1883727.0,5592231.0,2
146,2005,3181279.0,326400.0,1729443.0,1125436.0,3188018.0,1632553.0,771298.0,241992.0,467720.0,1
147,2005,1628681.0,95016.0,1090494.0,443171.0,1634534.0,739981.0,392627.0,36577.0,63280.0,1
148,2005,12182657.0,826830.0,4871813.0,6484014.0,12385157.0,6565022.0,3699703.0,510204.0,1180309.0,1
149,2005,9141383.0,796450.0,5588494.0,2756439.0,9399603.0,4629347.0,2692637.0,428619.0,1292543.0,1
150,2005,2701056.0,329159.0,1607433.0,764464.0,2698703.0,1524187.0,852145.0,174265.0,137026.0,1
151,2005,9584108.0,565072.0,4770290.0,4248746.0,9433502.0,5128207.0,2944041.0,382137.0,472358.0,1
152,2005,1132160.0,106484.0,585789.0,439887.0,1033603.0,510498.0,324752.0,29657.0,158464.0,1
153,2006,6364028.0,730112.0,3540436.0,2093480.0,6591429.0,3326656.0,1983482.0,485936.0,666550.0,1
154,2006,1625138.0,289855.0,918976.0,416307.0,1817656.0,871434.0,601197.0,58037.0,236931.0,1
155,2006,8084068.0,963600.0,3635388.0,3485080.0,7934177.0,3733989.0,2436340.0,392902.0,1143569.0,1
156,2006,4247664.0,482038.0,3108910.0,656716.0,4343877.0,2265821.0,1297593.0,211065.0,449548.0,1
157,2006,66302860.0,7421482.0,37439651.0,21441727.0,68722432.0,32387671.0,19079354.0,3259244.0,10047331.0,0
158,2006,7295561.0,520673.0,3087795.0,3687093.0,7803324.0,3562901.0,2518038.0,298896.0,1024225.0,1
159,2006,8436197.0,388080.0,3148507.0,4899610.0,7982143.0,4406855.0,2354944.0,290868.0,603391.0,1
160,2006,1544615.0,109044.0,969809.0,465762.0,1646885.0,817872.0,467410.0,64658.0,227679.0,1
161,2006,1092863.0,127371.0,0.0,965492.0,1081887.0,478688.0,433933.0,39503.0,126807.0,1
162,2006,25423686.0,2460004.0,10215772.0,12747910.0,26609155.0,12211602.0,7492039.0,1437303.0,4860930.0,2
163,2006,16165924.0,1455212.0,7136011.0,7574701.0,15839227.0,8583817.0,4432252.0,708588.0,1930006.0,2
164,2006,2705532.0,225393.0,2431735.0,48404.0,1939968.0,1077351.0,643718.0,143911.0,74988.0,1
165,2006,1875346.0,201040.0,1046128.0,628178.0,1903720.0,1027985.0,557225.0,82623.0,189807.0,1
166,2006,22724326.0,1886721.0,7144629.0,13692976.0,22622323.0,11327481.0,7242674.0,818234.0,2021097.0,2
167,2006,11578988.0,740036.0,5380185.0,5458767.0,11260755.0,5348450.0,3313154.0,424213.0,985099.0,1
168,2006,4898509.0,397290.0,2158255.0,2342964.0,4930613.0,2425326.0,1428006.0,215683.0,592789.0,1
169,2006,4648920.0,340728.0,2640757.0,1667435.0,4439000.0,2378494.0,1345794.0,191458.0,358866.0,1
170,2006,6002056.0,680251.0,3439085.0,1882720.0,6112978.0,3082253.0,1830653.0,356721.0,686124.0,1
171,2006,6780668.0,1276913.0,2814302.0,2689453.0,6032182.0,3167501.0,1962367.0,338521.0,454736.0,1
172,2006,2381908.0,201447.0,947857.0,1232604.0,2381439.0,1376177.0,660506.0,101979.0,115871.0,1
